JUGADOR;EQUIPO;PJ;PI;MIN;GOL;ASIS.;TIROS;TIRO_ARCO;ATAJ;VAY_INV;TARJ_AM;TARJ_ROJ;FAL_COM;FAL_REC;OFFSIDE
Enrique González Casín;Eibar;9;3;342;0;1;6;1;0;0;0;0;8;10;2
Erick Cabaco;Levante;9;7;634;0;0;2;0;0;0;3;0;6;5;0
Esteban Burgos;Eibar;1;0;69;0;0;0;0;0;0;0;0;0;1;0
Esteban Granero;Español;11;5;472;1;0;7;7;0;0;5;0;15;6;0
Éver Banega;Sevilla;18;18;1508;2;6;18;7;0;0;4;0;16;36;1
Ezequiel Ávila;Osasuna;18;16;1445;9;2;48;23;0;0;6;0;42;40;23
Ezequiel Garay;Valencia CF;15;15;1305;0;0;4;3;0;0;2;0;8;1;0
Fabián Orellana;Eibar;16;16;1370;4;4;22;11;0;0;5;1;13;29;4
Fabricio Agosto Ramírez;Mallorca;1;1;90;0;0;0;0;3;0;1;0;1;0;0
Facundo Ferreyra;Español;11;5;524;1;0;7;5;0;0;2;0;23;8;5
Facundo Roncaglia;Osasuna;9;9;754;1;0;1;1;0;0;1;2;12;7;0
Faycal Fajr;Getafe;6;5;388;0;0;7;3;0;0;2;0;3;5;0
Federico Barba;Real Valladolid;5;5;450;0;0;1;1;0;0;3;0;8;5;0
Federico San Emeterio Díaz;Real Valladolid;8;8;714;0;0;0;0;0;0;1;0;12;13;0
Federico Santiago Valverde Dipetta;Real Madrid;15;10;888;2;3;12;6;0;0;1;0;11;6;0
Federico Vico Villegas;Granada CF;5;4;259;1;0;3;1;0;0;0;0;2;4;0
Felipe Augusto de Almeida Monteiro;Atlético de Madrid;14;13;1171;1;0;9;4;0;0;4;0;17;11;1
Ferland Mendy;Real Madrid;10;9;804;0;0;4;1;0;0;3;1;10;12;1
Fernando Calero;Español;12;11;946;0;0;0;0;0;0;4;1;7;5;0
Fernando Francisco Reges;Sevilla;17;17;1530;0;1;3;0;0;0;8;0;21;14;1
Fernando Pacheco;Alavés;16;16;1440;0;0;0;0;41;5;0;0;0;0;0
Ferrán Torres;Valencia CF;18;14;1201;3;3;17;9;0;0;2;0;15;20;4
Florent Poulolo;Getafe;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Francis Coquelin;Valencia CF;15;14;1186;0;0;4;0;0;0;2;1;16;20;1
Francisco Barbosa Vieites;Celta de Vigo;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Francisco Beltrán;Celta de Vigo;14;9;821;0;0;2;1;0;0;2;1;5;6;0
Francisco Gámez;Mallorca;11;11;990;0;1;2;0;0;0;1;0;11;3;1
Francisco Javier Campos Coll;Mallorca;6;3;299;0;0;1;0;0;0;1;0;6;3;0
Francisco Javier García Fernández;Real Betis;7;4;360;0;0;3;1;0;0;2;0;3;5;0
Francisco José Olivas Alba;Real Valladolid;19;19;1710;1;0;4;3;0;0;1;0;7;17;2
Francisco Mérida Pérez;Osasuna;14;9;816;0;0;6;1;0;0;5;1;12;12;0
Francisco Portillo;Getafe;13;3;335;0;1;2;1;0;0;2;0;9;3;0
Franco Damián Vázquez;Sevilla;16;4;521;3;0;7;5;0;0;2;0;13;20;6
Frenkie de Jong;Barcelona;19;17;1438;1;2;2;2;0;0;1;1;18;20;1
Gabriel Armando de Abreu;Valencia CF;17;16;1456;0;0;3;1;0;0;2;0;8;13;0
Gabriel Fernández;Celta de Vigo;13;4;386;1;1;3;2;0;0;1;1;9;6;4
Gaizka Larrazabal;Athletic Club;8;1;173;0;0;1;1;0;0;0;0;5;3;1
Gareth Bale;Real Madrid;12;9;836;2;2;23;11;0;0;1;1;13;9;4
Geoffrey Kondogbia;Valencia CF;11;8;677;0;0;3;0;0;0;3;0;16;12;1
Gerard Moreno Balaguero;Villarreal;19;18;1584;8;2;41;18;0;0;2;0;24;27;11
Germán Sánchez;Granada CF;14;13;1162;2;0;6;4;0;0;6;0;16;13;0
German Valera;Atlético de Madrid;1;0;3;0;0;0;0;0;0;0;0;0;0;0
